id_activity,activity_name_ar,activity_name_en,activity_type,category,place,season,start_date,duration_days,is_camp,is_project,is_recurring,sponsor_name
1,اجتماعات أسبوعية,Weekly meetings,اجتماع,أنشطة دورية,قرنبالية,,,1,f,f,t,
2,خرجات تربوية,Educational trips,خرجة,أنشطة تربوية,تونس,,,1,f,f,t,
3,أنشطة بيئية واجتماعية,Environmental activities,نشاط مجتمعي,أنشطة مجتمعية,قرنبالية,,,1,f,f,t,
4,مشاركات في تظاهرات,Event participations,مشاركة,أنشطة جهوية,جهة نابل,,,1,f,f,t,
5,خرجة الربيع الكبرى,Spring Grand Outing,خرجة,أنشطة تربوية,تونس,2023/2024,Wed Mar 15 00:00:00 CET 2023,1,f,f,f,
6,خرجة كنز المدينة,City Treasure Outing,خرجة,أنشطة تربوية,المدينة العربية، تونس,2023/2024,Mon Mar 20 00:00:00 CET 2023,1,f,f,f,
7,خرجة كنز المدينة,City Treasure Outing,خرجة,أنشطة تربوية,جامع الزيتونة,2024/2025,Mon Mar 18 00:00:00 CET 2024,1,f,f,f,
8,خرجة The Walking Scout,The Walking Scout,خرجة,أنشطة تربوية,برج السدرية,2023/2024,Fri May 10 00:00:00 CET 2024,1,f,f,f,
9,خرجة Legend of the Wild,Legend of the Wild,خرجة,أنشطة تربوية,برج السدرية,2024/2025,Wed Mar 05 00:00:00 CET 2025,1,f,f,f,
10,المخيم الربيعي 2022,Spring Camp 2022,مخيم,مخيمات,قرنبالية,2021/2022,Thu Mar 10 00:00:00 CET 2022,5,t,f,f,
11,المخيم الصيفي 2022,Summer Camp 2022,مخيم,مخيمات,سوسة,2021/2022,Fri Jul 15 00:00:00 CET 2022,10,t,f,f,
12,المخيم الربيعي 2023,Spring Camp 2023,مخيم,مخيمات,قرنبالية,2022/2023,Sun Mar 12 00:00:00 CET 2023,5,t,f,f,
13,المخيم الصيفي 2023,Summer Camp 2023,مخيم,مخيمات,الحمامات,2022/2023,Thu Jul 20 00:00:00 CET 2023,10,t,f,f,
14,المخيم الربيعي 2024,Spring Camp 2024,مخيم,مخيمات,تونس,2023/2024,Fri Mar 15 00:00:00 CET 2024,5,t,f,f,
15,المخيم الصيفي 2024,Summer Camp 2024,مخيم,مخيمات,تونس,2023/2024,Sat Jul 20 00:00:00 CET 2024,10,t,f,f,
16,المخيم الربيعي 2025,Spring Camp 2025,مخيم,مخيمات,تونس,2024/2025,Thu Mar 20 00:00:00 CET 2025,6,t,f,f,
17,المخيم الصيفي أشبال وزهرات 2025,Summer Camp Cubs Flowers 2025,مخيم,مخيمات,تونس,2024/2025,Thu Jul 10 00:00:00 CET 2025,7,t,f,f,
18,المخيم الصيفي كشافة ومرشدات 2025,Summer Camp Scouts Guides 2025,مخيم,مخيمات,سوسة,2024/2025,Tue Aug 19 00:00:00 CET 2025,7,t,f,f,
19,المخيم المتنقل جوالة ودليلات 2025,Mobile Camp Rovers Rangers 2025,مخيم,مخيمات,قرنبالية,2024/2025,Sun Jun 01 00:00:00 CET 2025,3,t,f,f,
20,المخيم الصيفي للدليلات 2025,Dalilat Summer Camp 2025,مخيم,مخيمات,سوسة,2024/2025,Tue Aug 19 00:00:00 CET 2025,7,t,f,f,
21,المخيم التحضيري 2026,Preparatory Camp 2026,مخيم,مخيمات,تونس,2025/2026,Fri Sep 05 00:00:00 CET 2025,2,t,f,f,
22,مخيم الشتاء 2024,Winter Camp 2024,مخيم,مخيمات,عين دراهم,2023/2024,Wed Dec 20 00:00:00 CET 2023,4,t,f,f,
23,مخيم الشتاء 2025,Winter Camp 2025,مخيم,مخيمات,بنزرت,2024/2025,Wed Dec 18 00:00:00 CET 2024,4,t,f,f,
24,مخيم الانطلاق 2024,Launch Camp 2024,مخيم,مخيمات,قرنبالية,2024/2025,Thu Sep 12 00:00:00 CET 2024,3,t,f,f,
25,مخيم الانطلاق 2025,Launch Camp 2025,مخيم,مخيمات,قرنبالية,2025/2026,Wed Sep 10 00:00:00 CET 2025,3,t,f,f,
26,ملتقى قادة الأشبال,Cubs Leaders Meeting,مشاركة,أنشطة جهوية,فوج بني خيار,2025/2026,Sat Nov 08 00:00:00 CET 2025,2,f,f,f,
27,ندوة القائدات,Leaders Seminar,مشاركة,أنشطة جهوية,جهة نابل,2023/2024,Wed May 01 00:00:00 CET 2024,1,f,f,f,
28,المجلس الجهوي,Regional Council,مشاركة,أنشطة جهوية,نزل YADIS الحمامات,2025/2026,Thu Sep 25 00:00:00 CET 2025,1,f,f,f,
29,ملتقى الاستكشاف SONIC-R,SONIC-R Adventure Meeting,مشاركة,أنشطة جهوية,قرنبالية,2024/2025,Mon Jun 30 00:00:00 CET 2025,2,f,f,f,
30,شارة لاند ببرج السدرية,Badge Land,مشاركة,تدريب,برج السدرية,2024/2025,Fri Jun 13 00:00:00 CET 2025,3,f,f,f,
